,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Jan-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1969 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1970 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1971 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1972 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1973 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1974 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1975 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
